# this data is for 100 particles and 50,000 sweeps

#! sweep[i,0]/ total_energy[f,1]/ kinetic_energy[f,2]/ potential_energy[f,2]/
0 0.0 0.0 0.0
1 3.11650504677 0.307464146826 2.80904089995
2 5.76645181664 0.657123168528 5.10932864811
3 7.4820123511 0.994343432695 6.4876689184
4 8.92516158002 1.28580255468 7.63935902533
5 11.0291588845 1.71074218541 9.31841669914
6 12.5519013499 2.14661894794 10.405282402
7 14.0037212352 2.60845263486 11.3952686003
8 15.6425297493 3.09546088088 12.5470688684
9 16.7100587947 3.56831619074 13.141742604
10 18.3209124167 3.86819013103 14.4527222857
11 18.9235894523 4.27772366522 14.645865787
12 20.362210022 4.75052816331 15.6116818587
13 20.7706968606 4.89675397415 15.8739428864
14 23.2023262045 5.60987667441 17.5924495301
15 23.5288327955 6.01465417601 17.5141786195
16 25.273552223 6.40761871966 18.8659335033
17 26.5927698702 6.94527923677 19.6474906335
18 27.7010807587 7.25185600024 20.4492247585
19 28.50644016 7.94458531021 20.5618548498
20 30.1547361934 8.28329623301 21.8714399604
21 31.097974195 8.53552213594 22.562452059
22 32.8010536623 9.6482170701 23.1528365922
23 34.4291953674 10.4913501357 23.9378452317
24 35.5169472395 11.2925363327 24.2244109068
25 37.4019248609 11.8619786356 25.5399462252
26 39.7613307108 12.6438620099 27.1174687009
27 41.1509104475 13.37092605 27.7799843975
28 42.2040328296 13.9129320211 28.2911008085
29 42.6126072 14.3533504086 28.2592567914
30 43.429131715 14.8880317796 28.5410999354
31 45.2017658728 15.4476114412 29.7541544317
32 45.6988426698 15.6282076797 30.0706349901
33 46.06408246 16.0978764114 29.9662060486
34 47.8990615296 16.7662578619 31.1328036677
35 49.7083762499 17.4797838368 32.2285924131
36 51.6205783067 18.272693826 33.3478844807
37 52.3954501493 19.3540064971 33.0414436522
38 53.0702182237 19.7397441265 33.3304740973
39 53.4332738803 20.3629769805 33.0702968998
40 54.7961478907 20.8638444119 33.9323034787
41 55.6385615353 21.1198718401 34.5186896953
42 57.0158888147 21.9280513221 35.0878374926
43 58.3723307657 22.6627795993 35.7095511663
44 60.0525135043 22.9960296991 37.0564838052
45 61.6436615984 23.5915942231 38.0520673752
46 62.5539662883 24.4356106597 38.1183556286
47 64.2221914528 24.2779492225 39.9442422302
48 66.026794601 25.0603573639 40.9664372371
49 68.2181631054 26.1627578674 42.055405238
50 69.3914209829 26.4885207874 42.9029001955
51 70.820584927 27.1437419599 43.6768429671
52 72.5950908325 27.9543984798 44.6406923527
53 74.0198268365 29.0071121064 45.0127147301
54 75.2421917161 29.3913511708 45.8508405454
55 76.0556207958 29.812385022 46.2432357738
56 77.4921505227 30.3043755781 47.1877749446
57 76.8713611405 30.6285990984 46.2427620421
58 78.177730524 31.1603681412 47.0173623828
59 79.2418782555 32.213281838 47.0285964175
60 78.9516698441 32.0371381947 46.9145316494
